Type;count
Acura T;8
Dodge Grand Carava;15
Ford E-350 Super Duty Va;16
Volkswagen Beetl;3
Chevrolet Cruz;16
BMW ActiveHybrid 7 Seda;3
Ford Focus 5-Doo;4
BMW Z4 Roadste;5
Lexus L;2
Cadillac ST;13
Nissan Juk;2
BMW M3 Cou;2
Bentley Continental Supersports Coup;1
Chevrolet Silverado 1500 Hybri;12
Hyundai Equu;4
BMW 6 Series Cou;1
Toyota 4Runne;16
MINI Cooper Coup;5
Porsche 911 Cabriole;12
Volvo S6;4
Mitsubishi Eclipse Spyde;7
Volvo XC6;21
Mercury Grand Marqui;2
Volvo V7;1
Rolls-Royce Phantom Drophead Coup;2
Aston Martin Virage Cou;2
Chevrolet Impal;9
Toyota Yaris 5-Door Liftbac;8
Rolls-Royce Phantom Seda;4
Rolls-Royce Phantom Coup;2
Nissan Versa Seda;13
Ford F-15;185
Jeep Grand Cheroke;48
Nissan JUK;2
BMW 3 Series Convertibl;17
Mazda Mazda3 4-Doo;26
Volvo C7;6
Honda Fi;12
Honda Odysse;14
Ford E-150 Va;12
Mazda CX-;13
BMW M6 Convertibl;1
Hyundai Genesis Coup;28
Volkswagen GTI 2-Doo;4
Kia Ri;8
Infiniti E;16
Mercury Mila;10
Maserati GranTurismo Cou;4
Mitsubishi Eclipse Coup;14
Saab 9-4;5
Subaru Impreza Seda;13
Bentley Azure ;1
BMW 1 Series Coup;7
Mercedes-Benz M-Clas;8
Porsche Cayma;5
Jaguar X;12
Audi S4 Seda;3
Buick Lacross;22
Nissan Cub;6
Bentley Continental GT;3
Saab 9-3 Convertibl;14
Lincoln Town Ca;4
Infiniti ;13
Chevrolet Colorad;115
Chevrolet HHR Pane;8
Lincoln Navigato;10
Toyota RAV;24
Bentley Continental G;3
BMW M3 Convertibl;2
Audi A;2
Ford E-250 Va;16
Bentley Mulsann;1
Dodge Nitr;18
GMC Acadi;28
Nissan 370Z Coup;20
Buick Lucern;13
Chrysler Sebring Seda;3
Mitsubishi Lancer Sportbac;3
Mitsubishi Lancer Evolutio;2
Lexus I;14
Toyota Venz;8
Nissan Armad;36
Mercedes-Benz CLS-Clas;3
Suzuki Equato;15
Bentley Brookland;1
Mazda Mazda;8
Subaru Legac;19
Mercedes-Benz CL-Clas;8
Jaguar XK Convertibl;6
Bentley Continental Flying Spu;5
Dodge Dakot;28
Volkswagen Golf R 2-Doo;1
BMW 5 Series Sports Wago;2
Cadillac CTS Sport Seda;36
Cadillac CTS Sport Wago;28
Honda Accord Crosstour Hatchbac;9
Lexus E;3
Kia Optima Hybri;1
Mercedes-Benz E-Class Seda;11
Lincoln MK;6
Chevrolet Malib;19
Audi A;8
Audi A6 Seda;5
Audi A5 Cabriole;3
Ford Expeditio;52
Toyota FJ Cruise;9
Hyundai Tucso;29
Nissan Pathfinde;33
Porsche Boxste;5
Volkswagen Passa;6
Maybach 5;5
Chrysler 200 Convertibl;3
Infiniti G2;6
Volvo V5;5
Land Rover LR;7
Chevrolet Equino;43
Ford Transit Connect Wago;2
Ford Mustang Convertibl;24
Dodge Viper Convertibl;1
Honda Accord Cou;7
Lotus Exig;5
Chevrolet Sonic Hatchbac;8
Chrysler Sebring Convertibl;3
Audi R8 Coup;6
Chevrolet Aveo;10
Ferrari 612 Scagliett;1
Volkswagen Tigua;15
Chevrolet Sonic Seda;6
Land Rover Range Rove;9
Lexus L;12
Buick Veran;3
Cadillac CTS-V Seda;6
Ford Explore;26
Hyundai Veracru;13
Mazda Mazda;8
Audi A4 Avan;3
Toyota Matri;13
Mitsubishi Galan;6
Scion t;10
GMC Yukon X;27
Mercedes-Benz GL-Clas;6
Audi Q;6
Volkswagen Golf R 4-Doo;1
Cadillac DT;8
Mitsubishi Outlande;6
Audi A;7
Kia Sorent;22
Mazda Mazdaspeed;3
Volkswagen C;10
Maserati GranTurismo Convertibl;2
Acura TS;10
BMW 3 Series Cou;29
Infiniti G37 Seda;10
Infiniti M Hybri;1
Bentley Continental Supersport;1
Mazda Mazda;23
Chevrolet Tahoe Hybri;4
Toyota Sequoi;29
Lexus G;6
Hyundai Elantra Seda;15
BMW 1 Series Cou;4
Chevrolet Camaro Coup;31
Hyundai Genesis Seda;7
Aston Martin V12 Vantag;4
Chevrolet Corvette Coup;24
BMW 3 Series Sports Wago;12
BMW 5 Series Gran Turism;7
GMC Terrai;36
Ford Focus Coup;4
Cadillac SR;16
Infiniti G37 Convertibl;8
Chevrolet HHR Wago;14
Dodge Durang;22
Lincoln MK;9
Chevrolet Camaro Convertibl;16
Saab 9-5 Seda;7
BMW 6 Series Convertibl;1
Toyota Tacom;38
Mercedes-Benz SLK-Clas;7
Chevrolet Suburban Three-Quarter-To;4
Ford Crown Victori;1
Honda Elemen;11
Volkswagen GTI 4-Doo;4
Chrysler 200 Seda;4
Scion x;10
Toyota Highlande;25
Toyota Yaris Seda;4
Nissan Versa Hatchbac;6
Lincoln MKZ Seda;4
Transit Connect Va;4
Audi A;1
Ford Shelby GT500 Coup;1
Nissan Sentr;9
Aston Martin DBS Volant;6
Cadillac Escalade EX;6
Lamborghini Gallardo Spyde;1
Subaru Impreza WRX Hatchbac;9
Hyundai Sonata Hybri;1
Mitsubishi Endeavo;6
Acura R;3
Honda Accord Coup;15
Jaguar X;18
BMW ALPINA B7 Seda;4
Volkswagen Jett;38
Chevrolet Avalanch;12
GMC Sierra 1500 Hybri;8
Toyota Camr;26
Saab 9-3 SportComb;13
Infiniti QX5;6
Ford Tauru;15
Dodge Viper Cou;1
Toyota Sienn;33
Scion x;6
Volvo C3;20
GMC Yukon Hybri;10
Mercedes-Benz E-Class Coup;4
Ford Fiesta Hatchbac;4
Hyundai Accent Seda;6
Lexus IS ;9
Ford Fiesta Seda;6
Dodge Challenge;11
Jeep Compas;12
Audi R8 Spyde;4
Lincoln MK;2
Rolls-Royce Ghos;2
Nissan Tita;70
Jeep Libert;25
lexus IS ;1
Chevrolet Suburban Half-To;6
Mercury Marine;16
Hyundai Sonat;25
Jeep Patrio;23
Chevrolet Corvette Grand Sport Coup;24
BMW 5 Series Seda;29
Mercedes-Benz R-Clas;6
Audi Q;12
BMW M6 Cou;1
Kia Rio 5-Doo;4
Subaru Outbac;14
Ford Mustang Shelby GT500 Coup;2
Cadillac Escalad;24
Transit Connect Wago;4
Volkswagen Routa;12
Chrysler Town and Countr;9
Infiniti F;9
Land Rover Range Rover Evoqu;5
Porsche Cayenn;12
Subaru Foreste;23
Ford Range;38
Cadillac Escalade ES;24
MINI Cooper Hardto;15
Audi S;2
Lexus LF;1
Suzuki SX4 Sportbac;4
Chevrolet Malibu Hybri;1
Bentley Continental Supersports Convertibl;2
Hyundai Veloste;1
Volkswagen Golf 4-Doo;6
Toyota Land Cruise;2
Ford Focus Seda;17
Hyundai Elantra Tourin;14
BMW 3 Series Seda;18
Acura RD;4
BMW 1 Series Convertibl;10
Ford Transit Connect Va;2
Toyota Tundr;66
Lexus R;2
Maserati Quattroport;6
Mitsubishi Outlander Spor;1
GMC Savan;41
Mercedes-Benz GLK-Clas;4
Subaru Impreza WRX Seda;8
Aston Martin Virage Volant;2
Mercedes-Benz G-Clas;4
Mazda Mazda3 5-Doo;13
Mercedes-Benz SL-Clas;3
Aston Martin V8 Vantage Roadste;5
Lincoln MK;8
Honda Civic Cou;17
Buick Rega;13
Kia Sportag;21
Porsche 911 Coup;16
Chevrolet Suburba;3
Volkswagen Jetta SportWage;11
Kia Forte Kou;12
Jeep Commande;6
Jaguar XK Cou;8
Aston Martin V8 Vantage Cou;5
Volvo XC9;18
Dodge Journe;19
BMW X;4
Ford Mustang Cou;25
Lexus IS ;2
Honda CR-;14
Land Rover Range Rover Spor;10
Kia Fort;15
Kia Sedon;7
Honda Ridgelin;6
Suzuki Kizash;7
Lamborghini Gallardo Cou;1
Mercedes-Benz E-Class Wago;1
Audi S5 Coup;6
Lotus Elis;5
MINI Countryma;12
Suzuki SX4 Crossove;2
Audi TT R;1
Chevrolet Corvette Grand Sport Convertibl;24
Subaru Impreza Hatchbac;19
Saab 9-3 Sport Seda;20
Mitsubishi Lance;6
Porsche Cayenne S Hybri;1
Nissan Xterr;23
Maybach Landaule;3
GMC Yuko;16
MINI Clubma;15
Kia Forte 5-Doo;6
Cadillac CTS-V Coup;4
Lamborghini Gallardo Coup;3
Volvo S4;7
Dodge Charge;14
Chevrolet Corvette Convertibl;24
Mazda Tribut;18
BMW M3 Seda;2
Mercedes-Benz E-Class Cabriole;2
Dodge Ram 150;109
Hyundai Santa F;27
Buick Enclav;20
Maybach 6;5
Honda Pilo;20
Honda Civic Seda;35
Chevrolet Ave;5
Mazda CX-;18
mode;1
Aston Martin DB9 Volant;7
GMC Canyo;78
