Type;count
Mercedes-Benz E-Class Wago;1
Mazda MX-5 Miat;28
Mercedes-Benz SLK-Clas;7
Subaru Impreza WRX Hatchbac;9
Lincoln MK;8
Hyundai Santa F;27
Bentley Continental G;3
Toyota Sienn;33
Honda Fi;12
BMW 7 Serie;17
Ford Fle;26
Buick Lucern;13
Hyundai Genesis Coup;28
Chrysler 30;14
Ford Mustang Shelby GT500 Coup;2
Maserati GranTurismo Convertibl;2
GMC Canyo;78
Kia Rio;6
Acura ZD;3
Land Rover LR;4
Mercedes-Benz CLS-Clas;3
BMW Z4 Roadste;5
Subaru Impreza Hatchbac;19
Kia Optima Hybri;1
Chevrolet Suburban Three-Quarter-To;4
Ford Focus Coup;4
Nissan Cub;6
Land Rover Range Rover Spor;10
Volvo S6;4
Buick Lacross;22
Dodge Viper Cou;1
Ford Fiesta Hatchbac;4
BMW 1 Series Coup;7
Chevrolet Cruz;16
Nissan Versa Hatchbac;6
Volkswagen Jetta SportWage;11
Mercedes-Benz E-Class Coup;4
Nissan Xterr;23
Aston Martin Virage Volant;2
Ford E-350 Super Duty Wago;16
Lotus Elis;5
Chevrolet Sonic Seda;6
Dodge Calibe;11
Chevrolet Corvette Coup;24
Subaru Legac;19
Ford Transit Connect Wago;2
Acura MD;3
Volvo S8;6
Volkswagen Tigua;15
Bentley Brookland;1
Chrysler 200 Convertibl;3
Lamborghini Gallardo Cou;1
Saab 9-5 Seda;7
Lincoln MK;6
Chevrolet HHR Pane;8
Bentley Mulsann;1
Mercury Grand Marqui;2
Ford Fiesta Seda;6
Kia Forte 5-Doo;6
Lotus Exig;5
Lincoln MK;9
Chrysler Sebring Seda;3
Toyota Coroll;13
Chevrolet Camaro Convertibl;16
Dodge Ram 150;109
Volvo V5;5
Aston Martin DB9 Volant;7
Jaguar X;12
Hyundai Accent Seda;6
Bentley Continental Flying Spu;5
Maserati Quattroport;6
Toyota Yaris 5-Door Liftbac;8
Hyundai Equu;4
Audi R8 Spyde;4
Toyota RAV;24
Mercury Marine;16
Ford Fusio;29
Cadillac DT;8
Bentley Continental Supersports Coup;1
Toyota Matri;13
Nissan Sentr;9
Lexus G;6
Volkswagen Golf 2-Doo;9
Mitsubishi Lance;6
Audi Q;6
Chevrolet HHR Wago;14
BMW M6 Cou;1
Chevrolet Travers;24
Hyundai Elantra Tourin;14
Mitsubishi Lancer Sportbac;3
Lexus L;2
Toyota Venz;8
Bentley Azure ;1
Land Rover Range Rove;9
Porsche Boxste;5
Dodge Durang;22
Aston Martin DB9 Cou;7
BMW 6 Series Convertibl;1
Jeep Libert;25
Chevrolet Taho;12
Lexus L;12
BMW X;6
Cadillac CTS-V Seda;6
Mitsubishi Galan;6
Audi A6 Seda;5
Chevrolet Impal;9
Nissan 370Z Coup;20
Nissan Versa Seda;13
Saab 9-4;5
Mazda CX-;13
Nissan Pathfinde;33
Chevrolet Silverado 1500 Hybri;12
Mercedes-Benz E-Class Cabriole;2
BMW 5 Series Sports Wago;2
Scion t;10
Cadillac CTS-V Wago;4
Rolls-Royce Phantom Seda;4
Honda Civic Coup;8
Toyota Camr;26
Lamborghini Gallardo Spyde;1
BMW 3 Series Seda;18
Mercedes-Benz C-Clas;20
Toyota Yaris Seda;4
Maserati GranTurismo Cou;4
Infiniti G37 Seda;10
Kia Forte Kou;12
Suzuki SX4 Crossove;2
Rolls-Royce Ghos;2
MINI Cooper Coup;5
Toyota Land Cruise;2
BMW 6 Series Cou;1
GMC Yukon X;27
Audi A;2
Lotus Evor;1
Land Rover Range Rover Evoqu;5
Cadillac Escalad;24
Scion x;6
Mitsubishi Lancer Evolutio;2
Volvo XC9;18
Ford E-150 Wago;10
Volkswagen Beetl;3
Hyundai Accent Hatchbac;14
Hyundai Sonat;25
Audi S;2
Maybach 5;5
Rolls-Royce Phantom Drophead Coup;2
Cadillac CTS Sport Seda;36
Toyota Highlande;25
Honda Civic Cou;17
Dodge Avenge;11
Toyota Sequoi;29
Audi A5 Coup;7
Cadillac CTS Coup;14
Mitsubishi Eclipse Spyde;7
BMW M3 Convertibl;2
Hyundai Veloste;1
Infiniti F;9
Dodge Charge;14
Suzuki SX4 Seda;8
BMW X;4
Ford Range;38
Chevrolet Tahoe Hybri;4
Bentley Continental Supersport;1
BMW 1 Series Cou;4
Ford Expeditio;52
Jeep Wrangle;52
Mercedes-Benz R-Clas;6
Chevrolet Avalanch;12
Buick Enclav;20
Volvo XC6;21
Porsche 911 Cabriole;12
Volvo XC7;15
GMC Acadi;28
Nissan Juk;2
Acura RD;4
Audi A;7
Nissan Frontie;55
Toyota FJ Cruise;9
Chevrolet Equino;43
Jeep Compas;12
Lexus IS ;9
Honda Accord Cou;7
Cadillac SR;16
Lexus E;3
Infiniti IPL G Coup;4
Saab 9-3 Convertibl;14
Ford Escap;32
Kia Sorent;22
Lincoln Town Ca;4
Mercedes-Benz E-Class Seda;11
Hyundai Veracru;13
Lincoln Navigato;10
Ford E-250 Va;16
Chevrolet Suburba;3
Chevrolet Ave;5
Hyundai Azer;4
Kia Rio 5-Doo;4
Audi A4 Avan;3
Hyundai Genesis Seda;7
Volkswagen Golf R 4-Doo;1
BMW ActiveHybrid 7 Seda;3
BMW M3 Seda;2
Honda CR-;4
Honda Accord Seda;28
Audi A6 Avan;2
Volkswagen C;10
Kia Sou;17
Maybach Landaule;3
Infiniti M Hybri;1
Mazda RX-;10
Kia Fort;15
Suzuki SX4 Sportbac;4
BMW 1 Series Convertibl;10
Mazda Mazdaspeed;3
Honda Civic Seda;35
Mazda Mazda;8
Mercedes-Benz GLK-Clas;4
Honda Ridgelin;6
Chrysler 200 Seda;4
Volvo C7;6
Transit Connect Wago;4
Acura TS;10
Volvo V7;1
Jaguar XK Convertibl;6
BMW X;10
Suzuki Kizash;7
Mercedes-Benz M-Clas;8
Porsche 911 Coup;16
Cadillac ST;13
Volkswagen Touare;8
Dodge Journe;19
Ford Mustang Convertibl;24
BMW 3 Series Sports Wago;12
Ford Focus 5-Doo;4
BMW 5 Series Seda;29
Kia Optim;16
Infiniti G37 Convertibl;8
Ford Explore;26
Mercedes-Benz GL-Clas;6
Acura R;3
Ferrari 612 Scagliett;1
Chevrolet Silverado 150;116
Volkswagen Jett;38
Toyota Tacom;38
BMW M6 Convertibl;1
Chevrolet Corvette Grand Sport Convertibl;24
Ford Mustang Cou;25
Acura TSX Sport Wago;2
Mazda Tribut;18
Audi A5 Cabriole;3
Bentley Continental GT;3
GMC Terrai;36
Dodge Dakot;28
Land Rover LR;7
Kia Ri;8
Saab 9-3 SportComb;13
Kia Sportag;21
Saab 9-3 Sport Seda;20
Aston Martin Virage Cou;2
Cadillac Escalade ES;24
Chevrolet Aveo;10
Cadillac CTS-V Coup;4
Aston Martin Rapid;5
Infiniti QX5;6
Audi Q;12
Lincoln MKZ Seda;4
Mitsubishi Outlande;6
Chevrolet Expres;21
Aston Martin V8 Vantage Cou;5
Ford E-350 Super Duty Va;16
Volkswagen GTI 2-Doo;4
Hyundai Tucso;29
Mazda Mazda3 4-Doo;26
GMC Savan;41
Audi A4 Seda;9
Toyota Tundr;66
Volkswagen GTI 4-Doo;4
Infiniti G2;6
Chevrolet Corvette Grand Sport Coup;24
Subaru Outbac;14
Toyota 4Runne;16
Cadillac Escalade Hybri;10
Honda CR-;14
Mercedes-Benz CL-Clas;8
Jeep Grand Cheroke;48
Lincoln MK;2
Chevrolet Colorad;115
Lexus R;2
Ford Mustang Shelby GT500 Convertibl;3
Lexus LF;1
Chevrolet Corvette ZR;6
Volvo S4;7
Jaguar X;18
Acura T;8
Buick Rega;13
MINI Clubma;15
Audi S5 Coup;6
Nissan Tita;70
Honda Elemen;11
BMW 5 Series Gran Turism;7
Chevrolet Malib;19
Chevrolet Sonic Hatchbac;8
Toyota Yaris 3-Door Liftbac;7
Jeep Patrio;23
Ford Tauru;15
Audi A;1
Nissan Altima Coup;7
GMC Yuko;16
Hyundai Sonata Hybri;1
Chrysler Town and Countr;9
Dodge Challenge;11
Honda Pilo;20
Cadillac SRX Crossove;7
Scion x;10
Volkswagen Golf R 2-Doo;1
Nissan Armad;36
Porsche Cayma;5
Honda Odysse;14
Honda Accord Coup;15
GMC Sierra 1500 Hybri;8
Volkswagen Routa;12
Ford Edg;25
MINI Cooper Convertibl;15
Aston Martin DBS Volant;6
Infiniti G37 Coup;12
Mazda Mazda;23
GMC Yukon Hybri;10
Subaru Foreste;23
Chevrolet Corvette Z0;9
Volkswagen Touareg Hybri;1
BMW ALPINA B7 Seda;4
Volvo C3;20
Mercury Mila;10
Rolls-Royce Phantom Coup;2
Audi R8 Coup;6
Hyundai Elantra Seda;15
Ford F-15;185
BMW 3 Series Cou;29
Mazda CX-;18
Nissan 370Z Roadste;11
Nissan JUK;2
Chevrolet Camaro Coup;31
Mitsubishi Outlander Spor;1
Lexus IS ;2
Cadillac Escalade EX;6
BMW 3 Series Convertibl;17
Honda Accord Crosstour Hatchbac;9
Chevrolet Suburban Half-To;6
Mitsubishi Eclipse Coup;14
Volkswagen Passa;6
lexus IS ;1
Audi TT R;1
Suzuki Grand Vitar;15
Subaru Impreza WRX Seda;8
Ford Focus Seda;17
Jaguar XK Cou;8
MINI Countryma;12
Infiniti ;13
GMC Sierra 150;124
Chevrolet Malibu Hybri;1
Infiniti E;16
Dodge Nitr;18
Ford Transit Connect Va;2
Audi A;8
Mercedes-Benz G-Clas;4
Jeep Commande;6
MINI Cooper Hardto;15
Mercedes-Benz SL-Clas;3
Dodge Viper Convertibl;1
Chrysler Sebring Convertibl;3
BMW M3 Cou;2
Ford Crown Victori;1
Subaru Impreza Seda;13
Maybach 6;5
Mitsubishi Endeavo;6
Mazda Mazda;8
Lexus I;14
Aston Martin V8 Vantage Roadste;5
Bentley Continental Supersports Convertibl;2
Dodge Grand Carava;15
Chevrolet Corvette Convertibl;24
Ford Shelby GT500 Coup;1
Suzuki Equato;15
Aston Martin V12 Vantag;4
mode;1
Volkswagen Golf 4-Doo;6
Porsche Cayenne S Hybri;1
Mazda Mazda3 5-Doo;13
Audi S4 Seda;3
Buick Veran;3
Lamborghini Gallardo Coup;3
Ford E-150 Va;12
Cadillac CTS Sport Wago;28
Kia Sedon;7
Transit Connect Va;4
Porsche Cayenn;12
Toyota Avalo;5
