Type;count
Acura TL;8
Mercedes-Benz E-Class Wagon;1
Acura MDX;3
Jaguar XF;12
Porsche Cayenne;12
Audi A7;1
Volkswagen Jetta SportWagen;11
Mazda RX-8;10
Toyota Matrix;13
Toyota Sienna;33
Porsche 911 Cabriolet;12
Audi A5 Coupe;7
Toyota Avalon;5
BMW M3 Coup;2
Saab 9-3 Sport Sedan;20
Land Rover LR4;7
Saab 9-4X;5
Ford Edge;25
Honda Accord Coup;7
Chevrolet Camaro Convertible;16
Acura TSX Sport Wagon;2
Jeep Liberty;25
Volkswagen Passat;6
Toyota Yaris 3-Door Liftback;7
Porsche Cayman;5
Cadillac DTS;8
Rolls-Royce Phantom Coupe;2
Toyota Highlander;25
Chevrolet HHR Wagon;14
BMW 6 Series Coup;1
Audi R8 Spyder;4
BMW M3 Sedan;2
BMW X6;6
Land Rover Range Rover;9
Chevrolet Malibu Hybrid;1
Audi A6 Sedan;5
Aston Martin Virage Volante;2
Dodge Ram 1500;109
Honda Accord Sedan;28
Lamborghini Gallardo Coupe;3
Ford Shelby GT500 Coupe;1
model;1
Nissan Juke;2
Mitsubishi Galant;6
Volvo S80;6
Toyota Tacoma;38
Dodge Grand Caravan;15
Aston Martin DB9 Coup;7
Infiniti G37 Sedan;10
Lincoln MKS;9
Maybach 62;5
Infiniti G37 Convertible;8
Mercedes-Benz CL-Class;8
Ford Transit Connect Wagon;2
Toyota Venza;8
Chrysler Town and Country;9
Bentley Mulsanne;1
Rolls-Royce Phantom Drophead Coupe;2
Mercedes-Benz GLK-Class;4
Chrysler Sebring Convertible;3
GMC Sierra 1500;124
Honda Fit;12
Mercedes-Benz E-Class Sedan;11
Mercedes-Benz E-Class Coupe;4
Buick Regal;13
Hyundai Accent Hatchback;14
Cadillac SRX Crossover;7
Volkswagen GTI 2-Door;4
Kia Optima;16
Lincoln MKT;8
Mazda Mazdaspeed3;3
Ford Fiesta Sedan;6
Volkswagen Golf 4-Door;6
Suzuki SX4 Sportback;4
Bentley Continental Supersports Convertible;2
Kia Sedona;7
GMC Sierra 1500 Hybrid;8
Audi R8 Coupe;6
Ford Mustang Shelby GT500 Convertible;3
Ford Mustang Convertible;24
Honda Civic Coup;17
Lexus LFA;1
Mercedes-Benz C-Class;20
Infiniti M;13
Mercedes-Benz CLS-Class;3
GMC Yukon XL;27
Dodge Caliber;11
Subaru Forester;23
Lamborghini Gallardo Coup;1
Dodge Avenger;11
Nissan 370Z Coupe;20
Ford Taurus;15
Mercury Milan;10
GMC Acadia;28
Honda CR-Z;4
Subaru Impreza WRX Hatchback;9
Toyota Land Cruiser;2
BMW ALPINA B7 Sedan;4
Ford E-350 Super Duty Van;16
Dodge Challenger;11
Bentley Brooklands;1
Maserati Quattroporte;6
Cadillac CTS-V Sedan;6
Hyundai Accent Sedan;6
Nissan Xterra;23
Chevrolet Express;21
Volkswagen Beetle;3
Kia Rio5;6
Hyundai Tucson;29
Infiniti EX;16
BMW ActiveHybrid 7 Sedan;3
Volvo XC60;21
Ford E-250 Van;16
Ford Mustang Coup;25
Lincoln MKX;6
Chevrolet Suburban Half-Ton;6
Hyundai Elantra Touring;14
Mitsubishi Outlander Sport;1
Buick Lacrosse;22
Mercedes-Benz SL-Class;3
Lincoln MKZ Sedan;4
Bentley Continental Supersports;1
MINI Cooper Hardtop;15
Ford Ranger;38
Suzuki Equator;15
Chrysler 200 Convertible;3
BMW 3 Series Coup;29
Volvo V50;5
Cadillac STS;13
BMW 1 Series Coupe;7
Jaguar XK Coup;8
Chevrolet Silverado 1500 Hybrid;12
Cadillac Escalade ESV;24
Chevrolet Impala;9
Audi A4 Sedan;9
Mitsubishi Eclipse Spyder;7
Mercedes-Benz E-Class Cabriolet;2
Chevrolet Tahoe;12
Honda Ridgeline;6
Mazda Mazda3 4-Door;26
Acura ZDX;3
Scion xB;10
Chevrolet Corvette ZR1;6
Chevrolet Corvette Coupe;24
Honda CR-V;14
Ford Expedition;52
Toyota Corolla;13
Mazda CX-9;18
Hyundai Azera;4
Dodge Charger;14
Dodge Viper Coup;1
Mazda CX-7;13
Jeep Wrangler;52
Mercedes-Benz SLK-Class;7
BMW M3 Convertible;2
Cadillac CTS-V Coupe;4
Mitsubishi Eclipse Coupe;14
BMW 1 Series Coup;4
Toyota 4Runner;16
Volkswagen Touareg;8
GMC Terrain;36
GMC Yukon;16
BMW 5 Series Sedan;29
Chevrolet Aveo;5
Chevrolet Sonic Hatchback;8
Toyota FJ Cruiser;9
Ford Fusion;29
Mercedes-Benz GL-Class;6
Lotus Elise;5
Volkswagen CC;10
Audi S5 Coupe;6
Jeep Patriot;23
Kia Optima Hybrid;1
Volkswagen Tiguan;15
Hyundai Sonata Hybrid;1
Maserati GranTurismo Coup;4
Toyota Camry;26
Kia Sorento;22
Lexus IS;14
MINI Cooper Convertible;15
Chevrolet Malibu;19
Transit Connect Wagon;4
Chevrolet Avalanche;12
Honda Accord Crosstour Hatchback;9
Lexus LX;2
MINI Cooper Coupe;5
Bentley Continental GTC;3
Porsche Boxster;5
Volkswagen GTI 4-Door;4
BMW M6 Convertible;1
Cadillac Escalade Hybrid;10
Cadillac CTS Sport Wagon;28
Chevrolet Sonic Sedan;6
Chevrolet Corvette Convertible;24
Suzuki SX4 Sedan;8
Ford E-150 Van;12
Audi A5 Cabriolet;3
Lotus Evora;1
Mazda MX-5 Miata;28
Chrysler 200 Sedan;4
Saab 9-5 Sedan;7
Mazda Tribute;18
Honda Pilot;20
BMW 5 Series Sports Wagon;2
Subaru Legacy;19
Infiniti G37 Coupe;12
Nissan Frontier;55
Audi Q7;12
Mitsubishi Endeavor;6
Aston Martin V8 Vantage Roadster;5
Land Rover LR2;4
Hyundai Veloster;1
Mitsubishi Lancer Sportback;3
Aston Martin Virage Coup;2
Lexus LS;12
Dodge Dakota;28
Subaru Impreza WRX Sedan;8
Mitsubishi Lancer;6
Audi S6;2
BMW X3;4
Maybach 57;5
Toyota Sequoia;29
Bentley Continental Supersports Coupe;1
Mazda Mazda6;23
Rolls-Royce Ghost;2
Kia Sportage;21
Ford Focus Sedan;17
Dodge Journey;19
Bentley Continental GT;3
Chevrolet Traverse;24
Volvo S40;7
Volvo C70;6
Suzuki Grand Vitara;15
Mazda Mazda2;8
Cadillac CTS Sport Sedan;36
Ford Explorer;26
BMW 3 Series Sports Wagon;12
Nissan Pathfinder;33
Audi TT RS;1
Mercedes-Benz R-Class;6
Volkswagen Golf 2-Door;9
BMW Z4 Roadster;5
Ford Transit Connect Van;2
Lexus GS;6
Volvo S60;4
Honda Civic Coupe;8
Saab 9-3 SportCombi;13
Lotus Exige;5
Mercedes-Benz G-Class;4
Dodge Durango;22
Nissan Titan;70
Toyota Tundra;66
Volvo XC90;18
Nissan Sentra;9
Hyundai Sonata;25
Transit Connect Van;4
Chevrolet Equinox;43
Mazda Mazda5;8
Nissan Versa Hatchback;6
Nissan JUKE;2
BMW 7 Series;17
Land Rover Range Rover Sport;10
BMW 6 Series Convertible;1
Kia Forte 5-Door;6
BMW 3 Series Convertible;17
Aston Martin DB9 Volante;7
Nissan Armada;36
Toyota RAV4;24
Honda Element;11
Dodge Nitro;18
Infiniti M Hybrid;1
Toyota Yaris 5-Door Liftback;8
Cadillac CTS Coupe;14
Ferrari 612 Scaglietti;1
Buick Enclave;20
Chevrolet Camaro Coupe;31
Chevrolet Tahoe Hybrid;4
Subaru Impreza Hatchback;19
Cadillac Escalade EXT;6
Porsche 911 Coupe;16
Lincoln Town Car;4
Ford E-150 Wagon;10
Porsche Cayenne S Hybrid;1
Ford Escape;32
Scion xD;6
Chevrolet Silverado 1500;116
Cadillac CTS-V Wagon;4
Subaru Outback;14
Volkswagen Routan;12
Mazda Mazda3 5-Door;13
Chevrolet Suburban Three-Quarter-Ton;4
Mitsubishi Outlander;6
Infiniti G25;6
Nissan Altima Coupe;7
Jaguar XK Convertible;6
Land Rover Range Rover Evoque;5
Acura RL;3
Aston Martin V12 Vantage;4
Rolls-Royce Phantom Sedan;4
Infiniti IPL G Coupe;4
Volkswagen Touareg Hybrid;1
Buick Verano;3
Ford F-150;185
Chevrolet Corvette Z06;9
Ford Focus Coupe;4
Cadillac Escalade;24
Jeep Commander;6
Infiniti QX56;6
Honda Civic Sedan;35
Buick Lucerne;13
Lincoln MKZ;2
GMC Yukon Hybrid;10
Aston Martin V8 Vantage Coup;5
Dodge Viper Convertible;1
Hyundai Elantra Sedan;15
Maybach Landaulet;3
Mitsubishi Lancer Evolution;2
Chevrolet Corvette Grand Sport Coupe;24
Suzuki SX4 Crossover;2
Infiniti FX;9
Cadillac SRX;16
MINI Countryman;12
Lincoln Navigator;10
Ford Focus 5-Door;4
Jeep Grand Cherokee;48
Ford Crown Victoria;1
Nissan Cube;6
Chrysler Sebring Sedan;3
Audi A5;2
Hyundai Genesis Sedan;7
lexus IS F;1
Hyundai Equus;4
Lexus ES;3
Toyota Yaris Sedan;4
Volvo XC70;15
BMW 3 Series Sedan;18
Saab 9-3 Convertible;14
Nissan 370Z Roadster;11
Hyundai Genesis Coupe;28
Chevrolet Aveo5;10
Jaguar XJ;18
Maserati GranTurismo Convertible;2
Mercury Mariner;16
Acura TSX;10
Volvo V70;1
Aston Martin DBS Volante;6
Audi Q5;6
Audi A8;7
Bentley Continental Flying Spur;5
Ford Fiesta Hatchback;4
Lexus IS C;9
Ford E-350 Super Duty Wagon;16
Audi A3;8
Audi A6 Avant;2
